etype=Set(modrxn|inrxn|rxnprod)	a	b	dir	sign	pathway=Discrete(REPLACE_ME)
modrxn	E54658	REACT22274	1	1	Metabolism
inrxn	species174384	REACT22274	1	1	Metabolism
inrxn	species159151	REACT22274	1	1	Metabolism
rxnprod	REACT22274	species158602	1	1	Metabolism
rxnprod	REACT22274	species159160	1	1	Metabolism
modrxn	E84245	REACT75840	1	1	Metabolism
inrxn	species1237107	REACT75840	1	1	Metabolism
rxnprod	REACT75840	species1237165	1	1	Metabolism
modrxn	REACT22998	REACT22319	1	1	Metabolism
inrxn	species174384	REACT22319	1	1	Metabolism
inrxn	species159160	REACT22319	1	1	Metabolism
rxnprod	REACT22319	species158602	1	1	Metabolism
rxnprod	REACT22319	species159149	1	1	Metabolism
modrxn	REACT26517	REACT25127	1	1	Metabolism
inrxn	species29368	REACT25127	1	1	Metabolism
inrxn	species29356	REACT25127	1	1	Metabolism
inrxn	species965146	REACT25127	1	1	Metabolism
rxnprod	REACT25127	species29408	1	1	Metabolism
rxnprod	REACT25127	species31633	1	1	Metabolism
rxnprod	REACT25127	species29390	1	1	Metabolism
modrxn	REACT7163	REACT6949	1	1	Metabolism
inrxn	species176619	REACT6949	1	1	Metabolism
inrxn	species158471	REACT6949	1	1	Metabolism
rxnprod	REACT6949	species176492	1	1	Metabolism
rxnprod	REACT6949	species158466	1	1	Metabolism
modrxn	species176567	REACT6805	1	1	Metabolism
inrxn	species158471	REACT6805	1	1	Metabolism
inrxn	species193103	REACT6805	1	1	Metabolism
rxnprod	REACT6805	species158466	1	1	Metabolism
rxnprod	REACT6805	species176665	1	1	Metabolism
modrxn	REACT26403	REACT25137	1	1	Metabolism
inrxn	species29356	REACT25137	1	1	Metabolism
inrxn	species964965	REACT25137	1	1	Metabolism
rxnprod	REACT25137	species29372	1	1	Metabolism
rxnprod	REACT25137	species29480	1	1	Metabolism
modrxn	REACT26578	REACT25310	1	1	Metabolism
inrxn	species29398	REACT25310	1	1	Metabolism
inrxn	species29970	REACT25310	1	1	Metabolism
rxnprod	REACT25310	species29432	1	1	Metabolism
rxnprod	REACT25310	species893615	1	1	Metabolism
inrxn	species189455	REACT9945	1	1	Metabolism
rxnprod	REACT9945	species189411	1	1	Metabolism
inrxn	species193843	REACT9985	1	1	Metabolism
rxnprod	REACT9985	species192201	1	1	Metabolism
modrxn	REACT9592	REACT9461	1	1	Metabolism
inrxn	species113531	REACT9461	1	1	Metabolism
inrxn	species189487	REACT9461	1	1	Metabolism
rxnprod	REACT9461	species113529	1	1	Metabolism
rxnprod	REACT9461	species189444	1	1	Metabolism
modrxn	REACT7680	REACT6957	1	1	Metabolism
inrxn	species176478	REACT6957	1	1	Metabolism
inrxn	species158471	REACT6957	1	1	Metabolism
rxnprod	REACT6957	species176618	1	1	Metabolism
rxnprod	REACT6957	species158466	1	1	Metabolism
modrxn	E6718	REACT10102	1	1	Metabolism
inrxn	species70106	REACT10102	1	1	Metabolism
inrxn	species29364	REACT10102	1	1	Metabolism
inrxn	species193835	REACT10102	1	1	Metabolism
rxnprod	REACT10102	species29366	1	1	Metabolism
rxnprod	REACT10102	species193830	1	1	Metabolism
inrxn	species189466	REACT9454	1	1	Metabolism
rxnprod	REACT9454	species189489	1	1	Metabolism
inrxn	species189463	REACT9393	1	1	Metabolism
rxnprod	REACT9393	species189487	1	1	Metabolism
modrxn	REACT122567	REACT121277	1	1	Metabolism
inrxn	species2076551	REACT121277	1	1	Metabolism
inrxn	species914003	REACT121277	1	1	Metabolism
rxnprod	REACT121277	species2076465	1	1	Metabolism
rxnprod	REACT121277	species205687	1	1	Metabolism
modrxn	species189429	REACT9463	1	1	Metabolism
inrxn	species159549	REACT9463	1	1	Metabolism
inrxn	species70958	REACT9463	1	1	Metabolism
rxnprod	REACT9463	species29376	1	1	Metabolism
rxnprod	REACT9463	species29374	1	1	Metabolism
rxnprod	REACT9463	species189466	1	1	Metabolism
modrxn	species3229260	REACT10008	1	1	Metabolism
inrxn	species70106	REACT10008	1	1	Metabolism
inrxn	species29364	REACT10008	1	1	Metabolism
inrxn	species193830	REACT10008	1	1	Metabolism
rxnprod	REACT10008	species29366	1	1	Metabolism
rxnprod	REACT10008	species193842	1	1	Metabolism
modrxn	species428667	REACT19369	1	1	Metabolism
inrxn	species428275	REACT19369	1	1	Metabolism
inrxn	species29356	REACT19369	1	1	Metabolism
rxnprod	REACT19369	species428694	1	1	Metabolism
rxnprod	REACT19369	species29372	1	1	Metabolism
modrxn	species176574	REACT6969	1	1	Metabolism
inrxn	species176626	REACT6969	1	1	Metabolism
inrxn	species158471	REACT6969	1	1	Metabolism
rxnprod	REACT6969	species176496	1	1	Metabolism
rxnprod	REACT6969	species158466	1	1	Metabolism
modrxn	species3229177	REACT10028	1	1	Metabolism
inrxn	species29368	REACT10028	1	1	Metabolism
inrxn	species70106	REACT10028	1	1	Metabolism
inrxn	species29364	REACT10028	1	1	Metabolism
inrxn	species193835	REACT10028	1	1	Metabolism
rxnprod	REACT10028	species29356	1	1	Metabolism
rxnprod	REACT10028	species29366	1	1	Metabolism
rxnprod	REACT10028	species193813	1	1	Metabolism
modrxn	species3229260	REACT10038	1	1	Metabolism
inrxn	species70106	REACT10038	1	1	Metabolism
inrxn	species29364	REACT10038	1	1	Metabolism
inrxn	species193829	REACT10038	1	1	Metabolism
rxnprod	REACT10038	species29366	1	1	Metabolism
rxnprod	REACT10038	species193843	1	1	Metabolism
modrxn	species176599	REACT6961	1	1	Metabolism
inrxn	species158471	REACT6961	1	1	Metabolism
inrxn	species176667	REACT6961	1	1	Metabolism
rxnprod	REACT6961	species158466	1	1	Metabolism
rxnprod	REACT6961	species176564	1	1	Metabolism
inrxn	species193804	REACT10057	1	1	Metabolism
rxnprod	REACT10057	species176617	1	1	Metabolism
modrxn	REACT7457	REACT6770	1	1	Metabolism
inrxn	species176655	REACT6770	1	1	Metabolism
inrxn	species158471	REACT6770	1	1	Metabolism
rxnprod	REACT6770	species176555	1	1	Metabolism
rxnprod	REACT6770	species158466	1	1	Metabolism
modrxn	E1593	REACT10096	1	1	Metabolism
inrxn	species113533	REACT10096	1	1	Metabolism
inrxn	species113529	REACT10096	1	1	Metabolism
inrxn	species113600	REACT10096	1	1	Metabolism
inrxn	species193720	REACT10096	1	1	Metabolism
rxnprod	REACT10096	species113563	1	1	Metabolism
rxnprod	REACT10096	species113521	1	1	Metabolism
rxnprod	REACT10096	species193708	1	1	Metabolism
modrxn	E7390	REACT9526	1	1	Metabolism
inrxn	species189449	REACT9526	1	1	Metabolism
rxnprod	REACT9526	species29356	1	1	Metabolism
rxnprod	REACT9526	species189407	1	1	Metabolism
modrxn	REACT26517	REACT25348	1	1	Metabolism
inrxn	species29368	REACT25348	1	1	Metabolism
inrxn	species964952	REACT25348	1	1	Metabolism
rxnprod	REACT25348	species29408	1	1	Metabolism
rxnprod	REACT25348	species29390	1	1	Metabolism
modrxn	REACT151201	REACT14833	1	1	Metabolism
inrxn	species29398	REACT14833	1	1	Metabolism
inrxn	species70106	REACT14833	1	1	Metabolism
rxnprod	REACT14833	species113557	1	1	Metabolism
rxnprod	REACT14833	species113529	1	1	Metabolism
modrxn	E80270	REACT10115	1	1	Metabolism
inrxn	species29360	REACT10115	1	1	Metabolism
inrxn	species192194	REACT10115	1	1	Metabolism
rxnprod	REACT10115	species70106	1	1	Metabolism
rxnprod	REACT10115	species73473	1	1	Metabolism
rxnprod	REACT10115	species193835	1	1	Metabolism
modrxn	REACT7457	REACT6814	1	1	Metabolism
inrxn	species176565	REACT6814	1	1	Metabolism
inrxn	species158471	REACT6814	1	1	Metabolism
rxnprod	REACT6814	species176483	1	1	Metabolism
rxnprod	REACT6814	species158466	1	1	Metabolism
modrxn	E6718	REACT10018	1	1	Metabolism
inrxn	species70106	REACT10018	1	1	Metabolism
inrxn	species29364	REACT10018	1	1	Metabolism
inrxn	species193813	REACT10018	1	1	Metabolism
rxnprod	REACT10018	species29366	1	1	Metabolism
rxnprod	REACT10018	species193829	1	1	Metabolism
modrxn	E10380	REACT6763	1	1	Metabolism
inrxn	species29356	REACT6763	1	1	Metabolism
inrxn	species158466	REACT6763	1	1	Metabolism
rxnprod	REACT6763	species29372	1	1	Metabolism
rxnprod	REACT6763	species76577	1	1	Metabolism
inrxn	species193842	REACT10080	1	1	Metabolism
rxnprod	REACT10080	species193387	1	1	Metabolism
inrxn	species193846	REACT9984	1	1	Metabolism
rxnprod	REACT9984	species193804	1	1	Metabolism
modrxn	REACT10331	REACT10043	1	1	Metabolism
inrxn	species29366	REACT10043	1	1	Metabolism
inrxn	species193977	REACT10043	1	1	Metabolism
rxnprod	REACT10043	species29364	1	1	Metabolism
rxnprod	REACT10043	species70106	1	1	Metabolism
rxnprod	REACT10043	species194035	1	1	Metabolism
modrxn	species3219421	REACT10117	1	1	Metabolism
inrxn	species113533	REACT10117	1	1	Metabolism
inrxn	species113529	REACT10117	1	1	Metabolism
inrxn	species113600	REACT10117	1	1	Metabolism
inrxn	species193988	REACT10117	1	1	Metabolism
rxnprod	REACT10117	species113563	1	1	Metabolism
rxnprod	REACT10117	species113521	1	1	Metabolism
rxnprod	REACT10117	species194005	1	1	Metabolism
inrxn	species193966	REACT10093	1	1	Metabolism
rxnprod	REACT10093	species193998	1	1	Metabolism
inrxn	species194011	REACT10023	1	1	Metabolism
rxnprod	REACT10023	species193977	1	1	Metabolism
modrxn	REACT26520	REACT25295	1	1	Metabolism
inrxn	species113592	REACT25295	1	1	Metabolism
inrxn	species965131	REACT25295	1	1	Metabolism
rxnprod	REACT25295	species29370	1	1	Metabolism
rxnprod	REACT25295	species29390	1	1	Metabolism
modrxn	REACT26520	REACT25109	1	1	Metabolism
inrxn	species113592	REACT25109	1	1	Metabolism
inrxn	species965053	REACT25109	1	1	Metabolism
rxnprod	REACT25109	species29370	1	1	Metabolism
rxnprod	REACT25109	species964952	1	1	Metabolism
modrxn	REACT26520	REACT25323	1	1	Metabolism
inrxn	species113592	REACT25323	1	1	Metabolism
inrxn	species964945	REACT25323	1	1	Metabolism
rxnprod	REACT25323	species29370	1	1	Metabolism
rxnprod	REACT25323	species965146	1	1	Metabolism
modrxn	species428661	REACT19349	1	1	Metabolism
inrxn	species428275	REACT19349	1	1	Metabolism
rxnprod	REACT19349	species428686	1	1	Metabolism
rxnprod	REACT19349	species428663	1	1	Metabolism
modrxn	species428661	REACT19379	1	1	Metabolism
inrxn	species428203	REACT19379	1	1	Metabolism
rxnprod	REACT19379	species428686	1	1	Metabolism
rxnprod	REACT19379	species428671	1	1	Metabolism
modrxn	species3219421	REACT10037	1	1	Metabolism
inrxn	species113533	REACT10037	1	1	Metabolism
inrxn	species113529	REACT10037	1	1	Metabolism
inrxn	species113600	REACT10037	1	1	Metabolism
inrxn	species193998	REACT10037	1	1	Metabolism
rxnprod	REACT10037	species113521	1	1	Metabolism
rxnprod	REACT10037	species113563	1	1	Metabolism
rxnprod	REACT10037	species194011	1	1	Metabolism
inrxn	species194037	REACT9966	1	1	Metabolism
rxnprod	REACT9966	species193988	1	1	Metabolism
modrxn	E1585	REACT10045	1	1	Metabolism
inrxn	species113533	REACT10045	1	1	Metabolism
inrxn	species113529	REACT10045	1	1	Metabolism
inrxn	species113600	REACT10045	1	1	Metabolism
inrxn	species194005	REACT10045	1	1	Metabolism
rxnprod	REACT10045	species113521	1	1	Metabolism
rxnprod	REACT10045	species113563	1	1	Metabolism
rxnprod	REACT10045	species194012	1	1	Metabolism
modrxn	species428667	REACT19392	1	1	Metabolism
inrxn	species428203	REACT19392	1	1	Metabolism
inrxn	species29356	REACT19392	1	1	Metabolism
rxnprod	REACT19392	species428682	1	1	Metabolism
rxnprod	REACT19392	species29372	1	1	Metabolism
inrxn	species164349	REACT1310	1	1	Metabolism
rxnprod	REACT1310	species164365	1	1	Metabolism
modrxn	species428110	REACT19185	1	1	Metabolism
inrxn	species428203	REACT19185	1	1	Metabolism
inrxn	species29356	REACT19185	1	1	Metabolism
rxnprod	REACT19185	species428682	1	1	Metabolism
rxnprod	REACT19185	species29372	1	1	Metabolism
modrxn	E8611	REACT19309	1	1	Metabolism
inrxn	species419305	REACT19309	1	1	Metabolism
inrxn	species109276	REACT19309	1	1	Metabolism
rxnprod	REACT19309	species428662	1	1	Metabolism
rxnprod	REACT19309	species109277	1	1	Metabolism
modrxn	E6342	REACT121001	1	1	Metabolism
inrxn	species193514	REACT121001	1	1	Metabolism
inrxn	species2066762	REACT121001	1	1	Metabolism
rxnprod	REACT121001	species192314	1	1	Metabolism
rxnprod	REACT121001	species2066765	1	1	Metabolism
modrxn	REACT17840	REACT120744	1	1	Metabolism
inrxn	species2066766	REACT120744	1	1	Metabolism
rxnprod	REACT120744	species2066762	1	1	Metabolism
inrxn	species2066764	REACT120783	1	1	Metabolism
rxnprod	REACT120783	species2066768	1	1	Metabolism
modrxn	E10005	REACT120988	1	1	Metabolism
inrxn	species141343	REACT120988	1	1	Metabolism
inrxn	species2066765	REACT120988	1	1	Metabolism
rxnprod	REACT120988	species193514	1	1	Metabolism
rxnprod	REACT120988	species2066763	1	1	Metabolism
modrxn	REACT17840	REACT121210	1	1	Metabolism
inrxn	species141343	REACT121210	1	1	Metabolism
inrxn	species2066767	REACT121210	1	1	Metabolism
rxnprod	REACT121210	species2066766	1	1	Metabolism
modrxn	species196357	REACT9981	1	1	Metabolism
inrxn	species196366	REACT9981	1	1	Metabolism
rxnprod	REACT9981	species193092	1	1	Metabolism
modrxn	species176569	REACT6881	1	1	Metabolism
inrxn	species158471	REACT6881	1	1	Metabolism
inrxn	species176617	REACT6881	1	1	Metabolism
rxnprod	REACT6881	species158466	1	1	Metabolism
rxnprod	REACT6881	species176502	1	1	Metabolism
modrxn	E1585	REACT10094	1	1	Metabolism
inrxn	species113533	REACT10094	1	1	Metabolism
inrxn	species113529	REACT10094	1	1	Metabolism
inrxn	species113600	REACT10094	1	1	Metabolism
inrxn	species194012	REACT10094	1	1	Metabolism
rxnprod	REACT10094	species113521	1	1	Metabolism
rxnprod	REACT10094	species113563	1	1	Metabolism
rxnprod	REACT10094	species193982	1	1	Metabolism
modrxn	E1589	REACT10032	1	1	Metabolism
inrxn	species29368	REACT10032	1	1	Metabolism
inrxn	species70106	REACT10032	1	1	Metabolism
inrxn	species29364	REACT10032	1	1	Metabolism
inrxn	species193055	REACT10032	1	1	Metabolism
rxnprod	REACT10032	species29356	1	1	Metabolism
rxnprod	REACT10032	species29366	1	1	Metabolism
rxnprod	REACT10032	species194037	1	1	Metabolism
modrxn	E1589	REACT9996	1	1	Metabolism
inrxn	species29368	REACT9996	1	1	Metabolism
inrxn	species70106	REACT9996	1	1	Metabolism
inrxn	species29364	REACT9996	1	1	Metabolism
inrxn	species193092	REACT9996	1	1	Metabolism
rxnprod	REACT9996	species29356	1	1	Metabolism
rxnprod	REACT9996	species29366	1	1	Metabolism
rxnprod	REACT9996	species193966	1	1	Metabolism
inrxn	E6947	REACT163944	1	1	Metabolism
inrxn	E374038	REACT163944	1	1	Metabolism
rxnprod	REACT163944	REACT165389	1	1	Metabolism
modrxn	REACT2537	REACT1292	1	1	Metabolism
inrxn	species113592	REACT1292	1	1	Metabolism
rxnprod	REACT1292	species111294	1	1	Metabolism
rxnprod	REACT1292	species30389	1	1	Metabolism
modrxn	E6576	REACT14780	1	1	Metabolism
inrxn	species372364	REACT14780	1	1	Metabolism
inrxn	species76190	REACT14780	1	1	Metabolism
rxnprod	REACT14780	species29492	1	1	Metabolism
rxnprod	REACT14780	species29654	1	1	Metabolism
modrxn	species372469	REACT14830	1	1	Metabolism
inrxn	species29404	REACT14830	1	1	Metabolism
inrxn	species113553	REACT14830	1	1	Metabolism
rxnprod	REACT14830	species113552	1	1	Metabolism
rxnprod	REACT14830	species29448	1	1	Metabolism
modrxn	E30	REACT121028	1	1	Metabolism
inrxn	species193514	REACT121028	1	1	Metabolism
inrxn	species2066762	REACT121028	1	1	Metabolism
rxnprod	REACT121028	species353123	1	1	Metabolism
rxnprod	REACT121028	species2066765	1	1	Metabolism
modrxn	species176650	REACT6722	1	1	Metabolism
inrxn	species158471	REACT6722	1	1	Metabolism
inrxn	species176486	REACT6722	1	1	Metabolism
rxnprod	REACT6722	species158466	1	1	Metabolism
rxnprod	REACT6722	species176519	1	1	Metabolism
modrxn	REACT18252	REACT120938	1	1	Metabolism
inrxn	species113535	REACT120938	1	1	Metabolism
inrxn	species2046047	REACT120938	1	1	Metabolism
rxnprod	REACT120938	species113575	1	1	Metabolism
rxnprod	REACT120938	species2066767	1	1	Metabolism
inrxn	species2066763	REACT121071	1	1	Metabolism
rxnprod	REACT121071	species2066770	1	1	Metabolism
inrxn	REACT4862	REACT991	1	1	Metabolism
inrxn	species113548	REACT991	1	1	Metabolism
inrxn	species113581	REACT991	1	1	Metabolism
rxnprod	REACT991	REACT2435	1	1	Metabolism
modrxn	REACT2435	REACT190	1	1	Metabolism
inrxn	REACT2435	REACT190	1	1	Metabolism
rxnprod	REACT190	species113521	1	1	Metabolism
rxnprod	REACT190	REACT3945	1	1	Metabolism
modrxn	E89874	REACT14838	1	1	Metabolism
inrxn	species113577	REACT14838	1	1	Metabolism
inrxn	species113594	REACT14838	1	1	Metabolism
rxnprod	REACT14838	species70951	1	1	Metabolism
rxnprod	REACT14838	species29406	1	1	Metabolism
modrxn	REACT3945	REACT1985	1	1	Metabolism
inrxn	species163953	REACT1985	1	1	Metabolism
inrxn	REACT3945	REACT1985	1	1	Metabolism
rxnprod	REACT1985	species113529	1	1	Metabolism
rxnprod	REACT1985	species113593	1	1	Metabolism
rxnprod	REACT1985	REACT4862	1	1	Metabolism
modrxn	E54498	REACT2194	1	1	Metabolism
inrxn	species113535	REACT2194	1	1	Metabolism
inrxn	species141343	REACT2194	1	1	Metabolism
inrxn	E6693	REACT2194	1	1	Metabolism
rxnprod	REACT2194	species113575	1	1	Metabolism
rxnprod	REACT2194	species141328	1	1	Metabolism
rxnprod	REACT2194	species141324	1	1	Metabolism
inrxn	species2408370	REACT150196	1	1	Metabolism
inrxn	REACT150903	REACT150196	1	1	Metabolism
rxnprod	REACT150196	species2408372	1	1	Metabolism
rxnprod	REACT150196	species113529	1	1	Metabolism
rxnprod	REACT150196	REACT151835	1	1	Metabolism
inrxn	species113529	REACT150376	1	1	Metabolism
inrxn	REACT151835	REACT150376	1	1	Metabolism
inrxn	species113600	REACT150376	1	1	Metabolism
rxnprod	REACT150376	REACT150903	1	1	Metabolism
rxnprod	REACT150376	species113563	1	1	Metabolism
modrxn	REACT3389	REACT1548	1	1	Metabolism
inrxn	species113535	REACT1548	1	1	Metabolism
inrxn	species141343	REACT1548	1	1	Metabolism
inrxn	species141349	REACT1548	1	1	Metabolism
rxnprod	REACT1548	species141327	1	1	Metabolism
rxnprod	REACT1548	species113575	1	1	Metabolism
rxnprod	REACT1548	species141350	1	1	Metabolism
modrxn	REACT3389	REACT2231	1	1	Metabolism
inrxn	species113535	REACT2231	1	1	Metabolism
inrxn	species141343	REACT2231	1	1	Metabolism
inrxn	species141323	REACT2231	1	1	Metabolism
rxnprod	REACT2231	species141327	1	1	Metabolism
rxnprod	REACT2231	species113575	1	1	Metabolism
rxnprod	REACT2231	species141324	1	1	Metabolism
modrxn	species3640837	REACT14816	1	1	Metabolism
inrxn	species109276	REACT14816	1	1	Metabolism
inrxn	species372533	REACT14816	1	1	Metabolism
rxnprod	REACT14816	species1524044	1	1	Metabolism
rxnprod	REACT14816	species264638	1	1	Metabolism
modrxn	REACT5142	REACT481	1	1	Metabolism
inrxn	species29374	REACT481	1	1	Metabolism
inrxn	species77328	REACT481	1	1	Metabolism
rxnprod	REACT481	species113559	1	1	Metabolism
rxnprod	REACT481	species77326	1	1	Metabolism
modrxn	REACT2262	REACT1908	1	1	Metabolism
inrxn	species77330	REACT1908	1	1	Metabolism
inrxn	species113526	REACT1908	1	1	Metabolism
rxnprod	REACT1908	species77328	1	1	Metabolism
rxnprod	REACT1908	species113529	1	1	Metabolism
rxnprod	REACT1908	species29362	1	1	Metabolism
modrxn	REACT5859	REACT109	1	1	Metabolism
inrxn	species77332	REACT109	1	1	Metabolism
inrxn	species113521	REACT109	1	1	Metabolism
rxnprod	REACT109	species77330	1	1	Metabolism
modrxn	REACT7821	REACT6868	1	1	Metabolism
inrxn	species158471	REACT6868	1	1	Metabolism
inrxn	species158847	REACT6868	1	1	Metabolism
rxnprod	REACT6868	species158466	1	1	Metabolism
rxnprod	REACT6868	species158859	1	1	Metabolism
modrxn	REACT4772	REACT442	1	1	Metabolism
inrxn	species77337	REACT442	1	1	Metabolism
inrxn	species113596	REACT442	1	1	Metabolism
rxnprod	REACT442	species77332	1	1	Metabolism
rxnprod	REACT442	species31649	1	1	Metabolism
modrxn	REACT7821	REACT6897	1	1	Metabolism
inrxn	species158471	REACT6897	1	1	Metabolism
inrxn	species158858	REACT6897	1	1	Metabolism
rxnprod	REACT6897	species158466	1	1	Metabolism
rxnprod	REACT6897	species158850	1	1	Metabolism
modrxn	REACT5142	REACT250	1	1	Metabolism
inrxn	species29374	REACT250	1	1	Metabolism
inrxn	species77339	REACT250	1	1	Metabolism
rxnprod	REACT250	species113559	1	1	Metabolism
rxnprod	REACT250	species77337	1	1	Metabolism
modrxn	REACT2262	REACT2187	1	1	Metabolism
inrxn	species77341	REACT2187	1	1	Metabolism
inrxn	species113526	REACT2187	1	1	Metabolism
rxnprod	REACT2187	species77339	1	1	Metabolism
rxnprod	REACT2187	species113529	1	1	Metabolism
rxnprod	REACT2187	species29362	1	1	Metabolism
modrxn	REACT2262	REACT447	1	1	Metabolism
inrxn	species77251	REACT447	1	1	Metabolism
inrxn	species113526	REACT447	1	1	Metabolism
rxnprod	REACT447	species73871	1	1	Metabolism
rxnprod	REACT447	species113529	1	1	Metabolism
rxnprod	REACT447	species29362	1	1	Metabolism
modrxn	REACT5859	REACT386	1	1	Metabolism
inrxn	species77313	REACT386	1	1	Metabolism
inrxn	species113521	REACT386	1	1	Metabolism
rxnprod	REACT386	species77251	1	1	Metabolism
modrxn	REACT5531	REACT1592	1	1	Metabolism
inrxn	species77318	REACT1592	1	1	Metabolism
inrxn	species113596	REACT1592	1	1	Metabolism
rxnprod	REACT1592	species77313	1	1	Metabolism
rxnprod	REACT1592	species31649	1	1	Metabolism
modrxn	REACT5142	REACT2140	1	1	Metabolism
inrxn	species29374	REACT2140	1	1	Metabolism
inrxn	species77320	REACT2140	1	1	Metabolism
rxnprod	REACT2140	species77318	1	1	Metabolism
rxnprod	REACT2140	species113559	1	1	Metabolism
modrxn	REACT2262	REACT2195	1	1	Metabolism
inrxn	species77322	REACT2195	1	1	Metabolism
inrxn	species113526	REACT2195	1	1	Metabolism
rxnprod	REACT2195	species77320	1	1	Metabolism
rxnprod	REACT2195	species113529	1	1	Metabolism
rxnprod	REACT2195	species29362	1	1	Metabolism
modrxn	REACT5859	REACT87	1	1	Metabolism
inrxn	species77324	REACT87	1	1	Metabolism
inrxn	species113521	REACT87	1	1	Metabolism
rxnprod	REACT87	species77322	1	1	Metabolism
modrxn	REACT5531	REACT1742	1	1	Metabolism
inrxn	species77326	REACT1742	1	1	Metabolism
inrxn	species113596	REACT1742	1	1	Metabolism
rxnprod	REACT1742	species77324	1	1	Metabolism
rxnprod	REACT1742	species31649	1	1	Metabolism
modrxn	REACT6533	REACT6310	1	1	Metabolism
inrxn	species73663	REACT6310	1	1	Metabolism
inrxn	species113529	REACT6310	1	1	Metabolism
inrxn	species29362	REACT6310	1	1	Metabolism
rxnprod	REACT6310	species76633	1	1	Metabolism
rxnprod	REACT6310	species163953	1	1	Metabolism
rxnprod	REACT6310	species113526	1	1	Metabolism
modrxn	REACT4588	REACT2153	1	1	Metabolism
inrxn	species29372	REACT2153	1	1	Metabolism
inrxn	species500444	REACT2153	1	1	Metabolism
rxnprod	REACT2153	species112032	1	1	Metabolism
rxnprod	REACT2153	species500438	1	1	Metabolism
modrxn	REACT4588	REACT966	1	1	Metabolism
inrxn	species112032	REACT966	1	1	Metabolism
inrxn	species500438	REACT966	1	1	Metabolism
rxnprod	REACT966	species29372	1	1	Metabolism
rxnprod	REACT966	species500444	1	1	Metabolism
modrxn	REACT5859	REACT583	1	1	Metabolism
inrxn	species77343	REACT583	1	1	Metabolism
inrxn	species113521	REACT583	1	1	Metabolism
rxnprod	REACT583	species77341	1	1	Metabolism
modrxn	REACT4772	REACT1862	1	1	Metabolism
inrxn	species77308	REACT1862	1	1	Metabolism
inrxn	species113596	REACT1862	1	1	Metabolism
rxnprod	REACT1862	species77343	1	1	Metabolism
rxnprod	REACT1862	species31649	1	1	Metabolism
modrxn	REACT6402	REACT6360	1	1	Metabolism
inrxn	species73663	REACT6360	1	1	Metabolism
inrxn	REACT6402	REACT6360	1	1	Metabolism
rxnprod	REACT6360	species76633	1	1	Metabolism
rxnprod	REACT6360	REACT3127	1	1	Metabolism
modrxn	species187453	REACT9011	1	1	Metabolism
inrxn	species29370	REACT9011	1	1	Metabolism
inrxn	species113593	REACT9011	1	1	Metabolism
rxnprod	REACT9011	species113592	1	1	Metabolism
rxnprod	REACT9011	species113581	1	1	Metabolism
modrxn	REACT6661	REACT6149	1	1	Metabolism
inrxn	species113529	REACT6149	1	1	Metabolism
inrxn	REACT13858	REACT6149	1	1	Metabolism
inrxn	species113533	REACT6149	1	1	Metabolism
rxnprod	REACT6149	species163953	1	1	Metabolism
rxnprod	REACT6149	species113521	1	1	Metabolism
rxnprod	REACT6149	REACT13953	1	1	Metabolism
inrxn	species192030	REACT10085	1	1	Metabolism
rxnprod	REACT10085	species193436	1	1	Metabolism
modrxn	E1593	REACT10042	1	1	Metabolism
inrxn	species113529	REACT10042	1	1	Metabolism
inrxn	species113600	REACT10042	1	1	Metabolism
inrxn	species113533	REACT10042	1	1	Metabolism
inrxn	species193782	REACT10042	1	1	Metabolism
rxnprod	REACT10042	species113563	1	1	Metabolism
rxnprod	REACT10042	species113521	1	1	Metabolism
rxnprod	REACT10042	species193785	1	1	Metabolism
modrxn	species3229260	REACT10044	1	1	Metabolism
inrxn	species70106	REACT10044	1	1	Metabolism
inrxn	species29364	REACT10044	1	1	Metabolism
inrxn	species193707	REACT10044	1	1	Metabolism
rxnprod	REACT10044	species29366	1	1	Metabolism
rxnprod	REACT10044	species193728	1	1	Metabolism
modrxn	E3425	REACT121062	1	1	Metabolism
inrxn	species2105025	REACT121062	1	1	Metabolism
inrxn	species1605715	REACT121062	1	1	Metabolism
rxnprod	REACT121062	species2104993	1	1	Metabolism
rxnprod	REACT121062	species1678617	1	1	Metabolism
inrxn	species140356	REACT150225	1	1	Metabolism
rxnprod	REACT150225	species29768	1	1	Metabolism
inrxn	species192060	REACT10099	1	1	Metabolism
rxnprod	REACT10099	species193717	1	1	Metabolism
modrxn	REACT26664	REACT25122	1	1	Metabolism
inrxn	species947539	REACT25122	1	1	Metabolism
inrxn	species111707	REACT25122	1	1	Metabolism
rxnprod	REACT25122	species947575	1	1	Metabolism
rxnprod	REACT25122	species29432	1	1	Metabolism
modrxn	species198780	REACT11120	1	1	Metabolism
inrxn	species74113	REACT11120	1	1	Metabolism
inrxn	species198836	REACT11120	1	1	Metabolism
rxnprod	REACT11120	species83910	1	1	Metabolism
rxnprod	REACT11120	species198816	1	1	Metabolism
modrxn	E80270	REACT10090	1	1	Metabolism
inrxn	species29360	REACT10090	1	1	Metabolism
inrxn	species192189	REACT10090	1	1	Metabolism
rxnprod	REACT10090	species70106	1	1	Metabolism
rxnprod	REACT10090	species73473	1	1	Metabolism
rxnprod	REACT10090	species193724	1	1	Metabolism
inrxn	species193757	REACT9992	1	1	Metabolism
rxnprod	REACT9992	species193778	1	1	Metabolism
modrxn	E1593	REACT10104	1	1	Metabolism
