#entrez	phenotype	sources
E2631	hdf	brass08:hdf
E2645	hdf	brass08:hdf
E2648	hdf	brass08:hdf
E26509	hdf	konig08:hdf
E26512	hdf	konig08:hdf
E26520	hrf	liu:hrf
E26532	hdf	yeung09:hdf
E26576	hdf	zhou08:hdf
E26578	hrf	liu:hrf
E2689	hdf	zhou08:hdf
E26973	hdf	konig08:hdf
E27031	hdf	konig08:hdf
E27043	hrf	liu:hrf
E27102	hdf	yeung09:hdf
E27120	hdf	yeung09:hdf
E27173	hdf	yeung09:hdf
E27183	hdf	zhou08:hdf
E27243	hdf	yeung09:hdf
E27249	hdf	brass08:hdf
E27258	hdf	brass08:hdf
E27289	hdf	zhou08:hdf
E27292	hdf	brass08:hdf
E2730	hdf	yeung09:hdf
E27328	hdf	brass08:hdf
E27336	hdf	brass08:hdf
E2739	both	yeung09:hdf|liu:hrf
E27433	both	brass08:hdf|liu:hrf
E2760	hrf	zhou08:hrf
E2762	hdf	yeung09:hdf
E2765	hdf	brass08:hdf
E2778	hrf	liu:hrf
E2785	hrf	liu:hrf
E2820	hdf	zhou08:hdf
E2822	hdf	yeung09:hdf
E283638	hdf	yeung09:hdf
