#entrez	phenotype	sources
E6921	hdf	konig08:hdf
E6924	hdf	brass08:hdf|zhou08:hdf
E6925	hdf	yeung09:hdf
E6934	hdf	yeung09:hdf
E6938	hdf	yeung09:hdf
E6940	hdf	yeung09:hdf|brass08:hdf
E6942	hdf	konig08:hdf
E70	hrf	liu:hrf
E7014	hdf	zhou08:hdf
E7023	hdf	brass08:hdf
E7025	hdf	yeung09:hdf
E7029	hdf	brass08:hdf
E7030	hdf	brass08:hdf
E7036	hdf	yeung09:hdf
E7125	hdf	yeung09:hdf
E7178	hdf	zhou08:hdf
E7179	hdf	konig08:hdf
E7225	hrf	liu:hrf
E7267	hdf	konig08:hdf
E727851	hdf	zhou08:hdf
E727897	hdf	zhou08:hdf
E729164	hdf	yeung09:hdf
E7293	hdf	zhou08:hdf
E729359	hrf	liu:hrf
E7320	hdf	konig08:hdf
E7324	hdf	zhou08:hdf
E7328	hdf	konig08:hdf
E7332	hdf	konig08:hdf
E7355	hdf	konig08:hdf
E7372	hdf	konig08:hdf
E7384	hdf	zhou08:hdf
E7386	hdf	konig08:hdf
E7388	hrf	liu:hrf
E7404	hdf	zhou08:hdf
E7421	hdf	zhou08:hdf
E745	hdf	konig08:hdf
E7450	hdf	konig08:hdf
E7471	hdf	brass08:hdf
E7514	hdf	zhou08:hdf
E7559	hdf	brass08:hdf
E7569	hdf	brass08:hdf
E760	hdf	zhou08:hdf
E767612	hrf	liu:hrf
E7678	hrf	liu:hrf
E7681	hrf	liu:hrf
E7706	hrf	liu:hrf
E7707	hdf	konig08:hdf
E7791	hdf	konig08:hdf
E7799	hdf	yeung09:hdf
E7805	hdf	brass08:hdf
E7832	hdf	konig08:hdf
E7852	hdf	brass08:hdf|zhou08:hdf
E786	hdf	brass08:hdf
E7866	both	zhou08:both
E790	hdf	konig08:hdf
E79009	hdf	zhou08:hdf
E79033	hdf	konig08:hdf
E79036	hdf	konig08:hdf
E7905	both	zhou08:both
E79102	hdf	brass08:hdf|zhou08:hdf
E7917	hdf	zhou08:hdf
E79180	hdf	yeung09:hdf
E79442	hrf	liu:hrf
E79570	hrf	liu:hrf
E79582	hrf	liu:hrf
E79594	hdf	yeung09:hdf
E79646	hdf	zhou08:hdf
E79671	hdf	konig08:hdf
E79714	hdf	konig08:hdf
E79716	hrf	liu:hrf
E79774	hdf	brass08:hdf
E79781	hdf	konig08:hdf
E79786	hdf	yeung09:hdf
E7980	hdf	yeung09:hdf
E79801	hdf	zhou08:hdf
E79818	hdf	zhou08:hdf
E79823	hdf	yeung09:hdf
E79838	hdf	yeung09:hdf
E79848	hdf	brass08:hdf
E79861	hdf	brass08:hdf
E79877	hdf	yeung09:hdf
E79879	hdf	brass08:hdf
E79902	hdf	brass08:hdf
E7994	hdf	konig08:hdf
E79987	hdf	yeung09:hdf
E80010	both	liu:hrf|konig08:hdf
E80032	hrf	liu:hrf
E80114	hdf	yeung09:hdf
E80131	hdf	konig08:hdf
E80162	hdf	yeung09:hdf
E80198	hdf	konig08:hdf
E8021	hdf	konig08:hdf
E80210	hdf	yeung09:hdf
E80258	hdf	brass08:hdf
E80264	hrf	liu:hrf
E80306	hdf	brass08:hdf|zhou08:hdf
E80325	hdf	zhou08:hdf
E80345	hdf	zhou08:hdf
E80347	hdf	konig08:hdf
E80762	hdf	konig08:hdf
E80818	both	brass08:hdf|liu:hrf
E80824	hdf	konig08:hdf
E80853	hdf	brass08:hdf
E8087	hdf	konig08:hdf
E81037	hdf	yeung09:hdf
E81327	hrf	liu:hrf
E81442	hrf	liu:hrf
E81603	hdf	konig08:hdf
E81615	hdf	brass08:hdf
E81786	hdf	konig08:hdf
E81790	hdf	brass08:hdf
E81844	hdf	konig08:hdf
E81846	hdf	zhou08:hdf
E81853	hrf	liu:hrf
E81854	hdf	yeung09:hdf
E81855	hdf	konig08:hdf
E81875	hdf	zhou08:hdf
E81876	hdf	brass08:hdf
E81931	hrf	liu:hrf
E8202	hdf	yeung09:hdf
E8241	hdf	yeung09:hdf|konig08:hdf
E825	hdf	yeung09:hdf
E827	hdf	brass08:hdf
E8289	hdf	konig08:hdf
E8291	hdf	brass08:hdf
E83444	hrf	liu:hrf
E8347	hrf	liu:hrf
E8354	hdf	yeung09:hdf
E83544	hdf	brass08:hdf
E83548	hdf	brass08:hdf
E83608	hrf	liu:hrf
E83655	hdf	brass08:hdf
E83666	hdf	konig08:hdf
E83707	hdf	zhou08:hdf
E83844	hdf	brass08:hdf
E83857	hdf	brass08:hdf
E83874	hdf	zhou08:hdf
E83930	hdf	brass08:hdf
E83940	hdf	zhou08:hdf
E83989	hdf	konig08:hdf
E84057	hdf	brass08:hdf
E8407	hdf	konig08:hdf
E84078	hdf	brass08:hdf
E84084	hdf	brass08:hdf
E84166	hrf	liu:hrf
E8418	hdf	yeung09:hdf
E84206	hrf	liu:hrf
E84220	hdf	brass08:hdf
E84232	hrf	liu:hrf
E84263	hrf	liu:hrf
E84296	hdf	konig08:hdf
E84306	hdf	konig08:hdf
E8431	hdf	brass08:hdf
E8446	hdf	yeung09:hdf
E84619	hdf	konig08:hdf
E84622	hdf	konig08:hdf
E84643	hdf	zhou08:hdf
E84675	hdf	brass08:hdf|konig08:hdf
E8468	hrf	liu:hrf
E84706	hdf	konig08:hdf
E84759	hdf	zhou08:hdf
E84790	hdf	yeung09:hdf
E8487	hdf	brass08:hdf
E84893	hdf	brass08:hdf
